"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877731425298E12,-605.0000721216288,-1.0,
1.6861877731444824E12,-605.0000721216288,-1.0,
1.686187773146435E12,-605.0000721216288,-1.0,
1.6861877731483877E12,-605.0000721216288,-1.0,
1.68618777315034E12,-605.0000721216288,-1.0,
1.6861877731522927E12,-605.0000721216288,-1.0,
1.6861877731542454E12,-605.0000721216288,-1.0,
1.686187773156198E12,-605.0000721216288,-1.0,
1.6861877731581506E12,-605.0000721216288,-1.0,
1.686187773160103E12,-605.0000721216288,-1.0,
1.6861877731620557E12,-605.0000721216288,-1.0,
1.6861877731640083E12,-605.0000721216288,-1.0,
1.686187773165961E12,-605.0000721216288,-1.0,
1.6861877731679136E12,-605.0000721216288,-1.0,
1.686187773169866E12,-605.0000721216288,-1.0,
1.6861877731718186E12,-605.0000721216288,-1.0,
1.6861877731737712E12,-605.0000721216288,-1.0,
1.6861877731757239E12,-605.0000721216288,-1.0,
1.6861877731776765E12,-605.0000721216288,-1.0,
1.686187773179629E12,-605.0000721216288,-1.0,
1.6861877731815815E12,-605.0000721216288,-1.0,
1.6861877731835342E12,-605.0000721216288,-1.0,
1.6861877731854868E12,-605.0000721216288,-1.0,
1.6861877731874395E12,-605.0000721216288,-1.0,
1.6861877731893918E12,-605.0000721216288,-1.0,
1.6861877731913445E12,-605.0000721216288,-1.0,
1.686187773193297E12,-605.0000721216288,-1.0,
1.6861877731952498E12,-605.0000721216288,-1.0,
1.6861877731972024E12,-605.0000721216288,-1.0,
1.6861877731991548E12,-605.0000721216288,-1.0,
1.6861877732011074E12,-605.0000721216288,-1.0,
1.68618777320306E12,-605.0000721216288,-1.0,
1.6861877732050127E12,-605.0000721216288,-1.0,
1.6861877732069653E12,-605.0000721216288,-1.0,
1.6861877732089177E12,-605.0000721216288,-1.0,
1.6861877732108704E12,-605.0000721216288,-1.0,
1.686187773212823E12,-605.0000721216288,-1.0,
1.6861877732147756E12,-605.0000721216288,-1.0,
1.6861877732167283E12,-605.0000721216288,-1.0,
1.6861877732186807E12,-605.0000721216288,-1.0,
1.6861877732206333E12,-605.0000721216288,-1.0,
1.686187773222586E12,-605.0000721216288,-1.0,
1.6861877732245386E12,-605.0000721216288,-1.0,
1.6861877732264912E12,-605.0000721216288,-1.0,
1.6861877732284436E12,-605.0000721216288,-1.0,
1.6861877732303962E12,-605.0000721216288,-1.0,
1.6861877732323489E12,-605.0000721216288,-1.0,
1.6861877732343015E12,-605.0000721216288,-1.0,
1.6861877732362542E12,-605.0000721216288,-1.0,
1.6861877732382065E12,-605.0000721216288,-1.0,
1.6861877732401592E12,-605.0000721216288,-1.0,
1.6861877732421118E12,-605.0000721216288,-1.0,
1.6861877732440645E12,-605.0000721216288,-1.0,
1.686187773246017E12,-605.0000721216288,-1.0,
1.6861877732479695E12,-605.0000721216288,-1.0,
1.686187773249922E12,-605.0000721216288,-1.0,
1.6861877732518748E12,-605.0000721216288,-1.0,
